train,model,fixed_epoch,test,macro_precision,macro_recall,macro_f1,webnlg_precision,webnlg_recall,webnlg_f1
tum_p99,Gemma3-1B,6,lagrange,0.6486,0.4475,0.5044,0.6319,0.4135,0.4999
tum_p99,Gemma3-1B,6,tum_p99,0.8292,0.7889,0.7874,0.7503,0.7059,0.7274
tum_p99,Gemma3-1B,6,wikinre,0.7332,0.8746,0.7699,0.6037,0.8545,0.7075
tum_p99,Gemma3-1B,6,tum_e3,,,,,,
tum_p99,Gemma3-1B,6,nyt,,,,,,
tum_p99,Gemma3-1B,6,webnlg,,,,,,
tum_p99,Gemma3-1B,6,conll04,,,,,,
tum_p99,Qwen2.5-1.5B,4,rebel,0.4535,0.4826,0.4342,0.4390,0.4399,0.4395
tum_p99,Qwen2.5-1.5B,4,rebel-full,,,,,,
tum_p99,Qwen2.5-1.5B,4,lagrange,0.6326,0.4724,0.5181,0.6160,0.4407,0.5138
tum_p99,Qwen2.5-1.5B,4,tum_p99,0.8412,0.8142,0.8104,0.7813,0.7396,0.7599
tum_p99,Qwen2.5-1.5B,4,wikinre,0.6676,0.8876,0.7315,0.5509,0.8707,0.6748
tum_p99,Qwen2.5-1.5B,4,tum_e3,,,,,,
tum_p99,Qwen2.5-1.5B,4,nyt,,,,,,
tum_p99,Qwen2.5-1.5B,4,webnlg,,,,,,
tum_p99,Qwen2.5-1.5B,4,conll04,,,,,,
tum_p99,Llama3.2-1B,6,rebel,0.4885,0.4718,0.4432,0.4637,0.4029,0.4312
tum_p99,Llama3.2-1B,6,rebel-full,,,,,,
tum_p99,Llama3.2-1B,6,lagrange,0.6517,0.4438,0.5011,0.6266,0.3951,0.4846
tum_p99,Llama3.2-1B,6,tum_p99,0.8481,0.7913,0.8006,0.7910,0.7080,0.7472
tum_p99,Llama3.2-1B,6,wikinre,0.7345,0.8808,0.7723,0.6230,0.8605,0.7227
tum_p99,Llama3.2-1B,6,tum_e3,,,,,,
tum_p99,Llama3.2-1B,6,nyt,,,,,,
tum_p99,Llama3.2-1B,6,webnlg,,,,,,
tum_p99,Llama3.2-1B,6,conll04,,,,,,
tum_p99_new,Gemma3-1B,6,rebel,0.5348,0.4772,0.4761,0.5156,0.4125,0.4583
tum_p99_new,Gemma3-1B,6,rebel-full,,,,,,
tum_p99_new,Gemma3-1B,6,lagrange,0.6188,0.4609,0.5024,0.6067,0.4135,0.4918
tum_p99_new,Gemma3-1B,6,tum_p99,0.8989,0.8778,0.8784,0.8497,0.8223,0.8358
tum_p99_new,Gemma3-1B,6,wikinre,0.8239,0.8875,0.8428,0.7403,0.8714,0.8005
tum_p99_new,Gemma3-1B,6,tum_e3,,,,,,
tum_p99_new,Gemma3-1B,6,nyt,,,,,,
tum_p99_new,Gemma3-1B,6,webnlg,,,,,,
tum_p99_new,Gemma3-1B,6,conll04,,,,,,
tum_p99_new,Qwen2.5-1.5B,7,rebel,0.5152,0.4978,0.4774,0.5061,0.4369,0.4690
tum_p99_new,Qwen2.5-1.5B,7,rebel-full,,,,,,
tum_p99_new,Qwen2.5-1.5B,7,lagrange,0.5929,0.4785,0.5068,0.6014,0.4531,0.5168
tum_p99_new,Qwen2.5-1.5B,7,tum_p99,0.9053,0.9064,0.8970,0.8589,0.8601,0.8595
tum_p99_new,Qwen2.5-1.5B,7,wikinre,0.7007,0.8772,0.7549,0.6097,0.8604,0.7137
tum_p99_new,Qwen2.5-1.5B,7,tum_e3,,,,,,
tum_p99_new,Qwen2.5-1.5B,7,nyt,,,,,,
tum_p99_new,Qwen2.5-1.5B,7,webnlg,,,,,,
tum_p99_new,Qwen2.5-1.5B,7,conll04,,,,,,
tum_p99_new,Llama3.2-1B,6,rebel,0.5152,0.4930,0.4742,0.4862,0.4231,0.4525
tum_p99_new,Llama3.2-1B,6,rebel-full,,,,,,
tum_p99_new,Llama3.2-1B,6,lagrange,0.5952,0.4837,0.5072,0.5771,0.4427,0.5011
tum_p99_new,Llama3.2-1B,6,tum_p99,0.9063,0.8775,0.8819,0.8623,0.8175,0.8393
tum_p99_new,Llama3.2-1B,6,wikinre,0.8011,0.8971,0.8288,0.7092,0.8823,0.7864
tum_p99_new,Llama3.2-1B,6,tum_e3,,,,,,
tum_p99_new,Llama3.2-1B,6,nyt,,,,,,
tum_p99_new,Llama3.2-1B,6,webnlg,,,,,,
tum_p99_new,Llama3.2-1B,6,conll04,,,,,,
tum_p99_hparam_r32,Gemma3-1B,5,rebel,0.4773,0.4763,0.4419,0.4381,0.4254,0.4317
tum_p99_hparam_r32,Gemma3-1B,5,rebel-full,,,,,,
tum_p99_hparam_r32,Gemma3-1B,5,lagrange,0.6462,0.4392,0.4958,0.6237,0.4036,0.4900
tum_p99_hparam_r32,Gemma3-1B,5,tum_p99,0.8351,0.7933,0.7938,0.7581,0.7142,0.7355
tum_p99_hparam_r32,Gemma3-1B,5,wikinre,0.7977,0.8676,0.8058,0.6717,0.8384,0.7459
tum_p99_hparam_r32,Gemma3-1B,5,tum_e3,,,,,,
tum_p99_hparam_r32,Gemma3-1B,5,nyt,,,,,,
tum_p99_hparam_r32,Gemma3-1B,5,webnlg,,,,,,
tum_p99_hparam_r32,Gemma3-1B,5,conll04,,,,,,
tum_p99_hparam_r32,Qwen2.5-1.5B,5,rebel,0.4458,0.5059,0.4400,0.4350,0.4653,0.4496
tum_p99_hparam_r32,Qwen2.5-1.5B,5,rebel-full,,,,,,
tum_p99_hparam_r32,Qwen2.5-1.5B,5,lagrange,0.6296,0.4975,0.5322,0.6150,0.4643,0.5292
tum_p99_hparam_r32,Qwen2.5-1.5B,5,tum_p99,0.8337,0.8378,0.8198,0.7660,0.7747,0.7704
tum_p99_hparam_r32,Qwen2.5-1.5B,5,wikinre,0.6354,0.8851,0.7075,0.5197,0.8689,0.6504
tum_p99_hparam_r32,Qwen2.5-1.5B,5,tum_e3,,,,,,
tum_p99_hparam_r32,Qwen2.5-1.5B,5,nyt,,,,,,
tum_p99_hparam_r32,Qwen2.5-1.5B,5,webnlg,,,,,,
tum_p99_hparam_r32,Qwen2.5-1.5B,5,conll04,,,,,,
tum_p99_hparam_r32,Llama3.2-1B,5,rebel,0.4822,0.4725,0.4419,0.4621,0.4171,0.4384
tum_p99_hparam_r32,Llama3.2-1B,5,rebel-full,,,,,,
tum_p99_hparam_r32,Llama3.2-1B,5,lagrange,0.6468,0.4393,0.4979,0.6300,0.3964,0.4866
tum_p99_hparam_r32,Llama3.2-1B,5,tum_p99,0.8493,0.8055,0.8096,0.7942,0.7280,0.7596
tum_p99_hparam_r32,Llama3.2-1B,5,wikinre,0.7649,0.8884,0.7985,0.6602,0.8684,0.7501
tum_p99_hparam_r32,Llama3.2-1B,5,tum_e3,,,,,,
tum_p99_hparam_r32,Llama3.2-1B,5,nyt,,,,,,
tum_p99_hparam_r32,Llama3.2-1B,5,webnlg,,,,,,
tum_p99_hparam_r32,Llama3.2-1B,5,conll04,,,,,,
wikinre,Gemma3-1B,4,rebel,0.3728,0.3925,0.3359,0.3606,0.3054,0.3307
wikinre,Gemma3-1B,4,rebel-full,,,,,,
wikinre,Gemma3-1B,4,lagrange,0.5337,0.3670,0.3921,0.5228,0.2895,0.3726
wikinre,Gemma3-1B,4,tum_p99,0.3698,0.4667,0.3777,0.3607,0.3933,0.3763
wikinre,Gemma3-1B,4,wikinre,0.9680,0.9621,0.9635,0.9636,0.9510,0.9573
wikinre,Gemma3-1B,4,tum_e3,0.2864,0.3438,0.2845,0.2817,0.3121,0.2961
wikinre,Gemma3-1B,4,nyt,0.1214,0.1355,0.1175,0.1331,0.1084,0.1195
wikinre,Gemma3-1B,4,webnlg,0.4696,0.3333,0.3629,0.4772,0.2909,0.3615
wikinre,Gemma3-1B,4,conll04,0.4579,0.4082,0.4191,0.4619,0.3207,0.3786
wikinre,Qwen2.5-1.5B,6,rebel,0.3782,0.3990,0.3452,0.3702,0.3122,0.3387
wikinre,Qwen2.5-1.5B,6,rebel-full,,,,,,
wikinre,Qwen2.5-1.5B,6,lagrange,0.5678,0.3922,0.4266,0.5685,0.3199,0.4094
wikinre,Qwen2.5-1.5B,6,tum_p99,0.3850,0.4726,0.3921,0.3857,0.3971,0.3913
wikinre,Qwen2.5-1.5B,6,wikinre,0.9636,0.9631,0.9619,0.9568,0.9557,0.9563
wikinre,Qwen2.5-1.5B,6,tum_e3,0.3054,0.3582,0.3030,0.3057,0.3232,0.3142
wikinre,Qwen2.5-1.5B,6,nyt,0.2654,0.3694,0.2850,0.2525,0.3408,0.2901
wikinre,Qwen2.5-1.5B,6,webnlg,0.4354,0.5925,0.4764,0.4194,0.5628,0.4806
wikinre,Qwen2.5-1.5B,6,conll04,0.3857,0.4173,0.3768,0.3454,0.3610,0.3530
wikinre,Llama3.2-1B,5,rebel,0.3818,0.4036,0.3463,0.3573,0.3149,0.3348
wikinre,Llama3.2-1B,5,rebel-full,,,,,,
wikinre,Llama3.2-1B,5,lagrange,0.5314,0.3946,0.4130,0.5097,0.3227,0.3952
wikinre,Llama3.2-1B,5,tum_p99,0.3723,0.5009,0.3908,0.3517,0.4262,0.3854
wikinre,Llama3.2-1B,5,wikinre,0.9663,0.9629,0.9629,0.9606,0.9549,0.9577
wikinre,Llama3.2-1B,5,tum_e3,0.3144,0.4114,0.3249,0.2992,0.3708,0.3312
wikinre,Llama3.2-1B,5,nyt,0.1164,0.3316,0.1481,0.0790,0.3180,0.1265
wikinre,Llama3.2-1B,5,webnlg,0.3821,0.4879,0.3998,0.3412,0.4684,0.3948
wikinre,Llama3.2-1B,5,conll04,0.4118,0.3566,0.3702,0.4073,0.2915,0.3398
tum_e3,Gemma3-1B,5,rebel,0.4159,0.5112,0.4140,0.3346,0.4877,0.3969
tum_e3,Gemma3-1B,5,rebel-full,,,,,,
tum_e3,Gemma3-1B,5,lagrange,0.6020,0.5506,0.5376,0.5226,0.5138,0.5182
tum_e3,Gemma3-1B,5,tum_p99,,,,,,
tum_e3,Gemma3-1B,5,wikinre,0.5464,0.8632,0.5931,0.2374,0.8461,0.3708
tum_e3,Gemma3-1B,5,tum_e3,0.8472,0.8250,0.8172,0.7465,0.7381,0.7423
tum_e3,Gemma3-1B,5,nyt,0.0713,0.1333,0.0744,0.0602,0.1190,0.0799
tum_e3,Gemma3-1B,5,webnlg,0.4489,0.4340,0.3980,0.3646,0.4031,0.3829
tum_e3,Gemma3-1B,5,conll04,0.2739,0.2793,0.2590,0.2455,0.2385,0.2420
tum_e3,Qwen2.5-1.5B,7,rebel,0.4295,0.5314,0.4357,0.4009,0.4968,0.4437
tum_e3,Qwen2.5-1.5B,7,rebel-full,,,,,,
tum_e3,Qwen2.5-1.5B,7,lagrange,0.6141,0.5857,0.5706,0.5822,0.5485,0.5648
tum_e3,Qwen2.5-1.5B,7,tum_p99,,,,,,
tum_e3,Qwen2.5-1.5B,7,wikinre,0.5158,0.8675,0.5982,0.3705,0.8543,0.5168
tum_e3,Qwen2.5-1.5B,7,tum_e3,0.8484,0.8424,0.8309,0.7862,0.7729,0.7795
tum_e3,Qwen2.5-1.5B,7,nyt,0.1819,0.1772,0.1624,0.1623,0.1621,0.1622
tum_e3,Qwen2.5-1.5B,7,webnlg,0.4688,0.5801,0.4879,0.4146,0.5534,0.4741
tum_e3,Qwen2.5-1.5B,7,conll04,0.2944,0.3151,0.2830,0.2489,0.2654,0.2569
tum_e3,Llama3.2-1B,4,rebel,0.4843,0.5031,0.4563,0.4404,0.4421,0.4412
tum_e3,Llama3.2-1B,4,rebel-full,,,,,,
tum_e3,Llama3.2-1B,4,lagrange,0.6368,0.5638,0.5669,0.6041,0.5167,0.5570
tum_e3,Llama3.2-1B,4,tum_p99,,,,,,
tum_e3,Llama3.2-1B,4,wikinre,0.7102,0.8665,0.7445,0.5155,0.8435,0.6400
tum_e3,Llama3.2-1B,4,tum_e3,0.8654,0.8296,0.8321,0.8052,0.7440,0.7734
tum_e3,Llama3.2-1B,4,nyt,0.1090,0.1504,0.1110,0.0810,0.1236,0.0979
tum_e3,Llama3.2-1B,4,webnlg,0.4659,0.4600,0.4254,0.4244,0.4353,0.4298
tum_e3,Llama3.2-1B,4,conll04,0.2601,0.3685,0.2835,0.2515,0.3278,0.2846
