train,model,fixed_epoch,test,macro_precision,macro_recall,macro_f1,webnlg_precision,webnlg_recall,webnlg_f1
tekgen,Gemma3-1B,2,rebel,0.5278,0.3814,0.4118,0.5124,0.2974,0.3763
tekgen,Gemma3-1B,2,rebel-full,,,,,,
tekgen,Gemma3-1B,2,lagrange,0.7171,0.4350,0.5203,0.7022,0.3772,0.4908
tekgen,Gemma3-1B,2,tum_p99,0.5981,0.4481,0.4851,0.5644,0.3494,0.4316
tekgen,Gemma3-1B,2,wikinre,0.8681,0.8558,0.8528,0.8234,0.8249,0.8241
tekgen,Gemma3-1B,2,tum_e3,0.5994,0.4410,0.4801,0.5450,0.3401,0.4188
tekgen,Gemma3-1B,2,nyt,0.1166,0.1346,0.1056,0.0981,0.1218,0.1087
tekgen,Gemma3-1B,2,webnlg,0.4670,0.3667,0.3777,0.4544,0.3487,0.3946
tekgen,Gemma3-1B,2,conll04,0.2018,0.2180,0.1993,0.2135,0.1746,0.1921
tekgen,Qwen2.5-1.5B,2,rebel,0.4925,0.3640,0.3917,0.4847,0.2809,0.3557
tekgen,Qwen2.5-1.5B,2,rebel-full,,,,,,
tekgen,Qwen2.5-1.5B,2,lagrange,0.6849,0.4515,0.5238,0.6157,0.3985,0.4838
tekgen,Qwen2.5-1.5B,2,tum_p99,0.5901,0.4368,0.4771,0.5679,0.3465,0.4304
tekgen,Qwen2.5-1.5B,2,wikinre,0.8395,0.8265,0.8239,0.7829,0.7984,0.7906
tekgen,Qwen2.5-1.5B,2,tum_e3,0.5873,0.4325,0.4723,0.5282,0.3306,0.4067
tekgen,Qwen2.5-1.5B,2,nyt,0.1615,0.2340,0.1698,0.1545,0.2170,0.1805
tekgen,Qwen2.5-1.5B,2,webnlg,0.4244,0.5710,0.4544,0.3631,0.5494,0.4372
tekgen,Qwen2.5-1.5B,2,conll04,0.2749,0.2483,0.2455,0.2121,0.2046,0.2083
tekgen,Llama3.2-1B,2,rebel,0.5685,0.3957,0.4352,0.5587,0.3014,0.3916
tekgen,Llama3.2-1B,2,rebel-full,,,,,,
tekgen,Llama3.2-1B,2,lagrange,0.7243,0.4477,0.5288,0.6536,0.3864,0.4857
tekgen,Llama3.2-1B,2,tum_p99,0.6262,0.4594,0.5002,0.5646,0.3563,0.4369
tekgen,Llama3.2-1B,2,wikinre,0.8822,0.8836,0.8725,0.8179,0.8590,0.8380
tekgen,Llama3.2-1B,2,tum_e3,0.6637,0.4814,0.5281,0.5698,0.3674,0.4468
tekgen,Llama3.2-1B,2,nyt,0.0833,0.2501,0.0975,0.0590,0.2476,0.0953
tekgen,Llama3.2-1B,2,webnlg,0.4585,0.4543,0.4217,0.4061,0.4353,0.4202
tekgen,Llama3.2-1B,2,conll04,0.3026,0.3047,0.2855,0.2981,0.2472,0.2703
tum_p99,Gemma3-1B,2,rebel,,,,,,
tum_p99,Gemma3-1B,2,rebel-full,,,,,,
tum_p99,Gemma3-1B,2,lagrange,0.6640,0.4023,0.4733,0.6328,0.3654,0.4633
tum_p99,Gemma3-1B,2,tum_p99,0.8095,0.7248,0.7372,0.7118,0.6261,0.6662
tum_p99,Gemma3-1B,2,wikinre,0.7505,0.8465,0.7682,0.6238,0.8111,0.7053
tum_p99,Gemma3-1B,2,tum_e3,,,,,,
tum_p99,Gemma3-1B,2,nyt,,,,,,
tum_p99,Gemma3-1B,2,webnlg,,,,,,
tum_p99,Gemma3-1B,2,conll04,,,,,,
tum_p99,Qwen2.5-1.5B,2,rebel,,,,,,
tum_p99,Qwen2.5-1.5B,2,rebel-full,,,,,,
tum_p99,Qwen2.5-1.5B,2,lagrange,0.6156,0.4401,0.4897,0.5979,0.4093,0.4860
tum_p99,Qwen2.5-1.5B,2,tum_p99,0.8078,0.7609,0.7620,0.7261,0.6794,0.7020
tum_p99,Qwen2.5-1.5B,2,wikinre,0.6053,0.8444,0.6721,0.4891,0.8181,0.6122
tum_p99,Qwen2.5-1.5B,2,tum_e3,,,,,,
tum_p99,Qwen2.5-1.5B,2,nyt,,,,,,
tum_p99,Qwen2.5-1.5B,2,webnlg,,,,,,
tum_p99,Qwen2.5-1.5B,2,conll04,,,,,,
tum_p99,Llama3.2-1B,2,rebel,,,,,,
tum_p99,Llama3.2-1B,2,rebel-full,,,,,,
tum_p99,Llama3.2-1B,2,lagrange,0.6163,0.4182,0.4699,0.5540,0.3731,0.4459
tum_p99,Llama3.2-1B,2,tum_p99,0.8038,0.7554,0.7549,0.6821,0.6731,0.6776
tum_p99,Llama3.2-1B,2,wikinre,0.6312,0.8792,0.6917,0.4924,0.8588,0.6259
tum_p99,Llama3.2-1B,2,tum_e3,,,,,,
tum_p99,Llama3.2-1B,2,nyt,,,,,,
tum_p99,Llama3.2-1B,2,webnlg,,,,,,
tum_p99,Llama3.2-1B,2,conll04,,,,,,
tum_p99_new,Gemma3-1B,4,rebel,,,,,,
tum_p99_new,Gemma3-1B,4,rebel-full,,,,,,
tum_p99_new,Gemma3-1B,4,lagrange,0.6215,0.4382,0.4876,0.5993,0.3916,0.4737
tum_p99_new,Gemma3-1B,4,tum_p99,0.9035,0.8630,0.8722,0.8536,0.7951,0.8233
tum_p99_new,Gemma3-1B,4,wikinre,0.8229,0.8902,0.8423,0.7218,0.8733,0.7904
tum_p99_new,Gemma3-1B,4,tum_e3,,,,,,
tum_p99_new,Gemma3-1B,4,nyt,,,,,,
tum_p99_new,Gemma3-1B,4,webnlg,,,,,,
tum_p99_new,Gemma3-1B,4,conll04,,,,,,
tum_p99_new,Qwen2.5-1.5B,3,rebel,,,,,,
tum_p99_new,Qwen2.5-1.5B,3,rebel-full,,,,,,
tum_p99_new,Qwen2.5-1.5B,3,lagrange,0.6029,0.4799,0.5103,0.5967,0.4533,0.5152
tum_p99_new,Qwen2.5-1.5B,3,tum_p99,0.8991,0.8856,0.8829,0.8471,0.8297,0.8383
tum_p99_new,Qwen2.5-1.5B,3,wikinre,0.7172,0.8802,0.7676,0.6259,0.8636,0.7258
tum_p99_new,Qwen2.5-1.5B,3,tum_e3,,,,,,
tum_p99_new,Qwen2.5-1.5B,3,nyt,,,,,,
tum_p99_new,Qwen2.5-1.5B,3,webnlg,,,,,,
tum_p99_new,Qwen2.5-1.5B,3,conll04,,,,,,
tum_p99_new,Llama3.2-1B,4,rebel,,,,,,
tum_p99_new,Llama3.2-1B,4,rebel-full,,,,,,
tum_p99_new,Llama3.2-1B,4,lagrange,0.6204,0.4581,0.5018,0.6134,0.4139,0.4943
tum_p99_new,Llama3.2-1B,4,tum_p99,0.9071,0.8531,0.8684,0.8672,0.7797,0.8211
tum_p99_new,Llama3.2-1B,4,wikinre,0.8379,0.8830,0.8497,0.7680,0.8626,0.8126
tum_p99_new,Llama3.2-1B,4,tum_e3,,,,,,
tum_p99_new,Llama3.2-1B,4,nyt,,,,,,
tum_p99_new,Llama3.2-1B,4,webnlg,,,,,,
tum_p99_new,Llama3.2-1B,4,conll04,,,,,,
tum_p99_hparam_r32,Gemma3-1B,2,rebel,,,,,,
tum_p99_hparam_r32,Gemma3-1B,2,rebel-full,,,,,,
tum_p99_hparam_r32,Gemma3-1B,2,lagrange,0.6631,0.4047,0.4733,0.6239,0.3638,0.4596
tum_p99_hparam_r32,Gemma3-1B,2,tum_p99,0.8119,0.7404,0.7478,0.7007,0.6447,0.6715
tum_p99_hparam_r32,Gemma3-1B,2,wikinre,0.7817,0.8441,0.7877,0.6567,0.8072,0.7242
tum_p99_hparam_r32,Gemma3-1B,2,tum_e3,,,,,,
tum_p99_hparam_r32,Gemma3-1B,2,nyt,,,,,,
tum_p99_hparam_r32,Gemma3-1B,2,webnlg,,,,,,
tum_p99_hparam_r32,Gemma3-1B,2,conll04,,,,,,
tum_p99_hparam_r32,Qwen2.5-1.5B,2,rebel,,,,,,
tum_p99_hparam_r32,Qwen2.5-1.5B,2,rebel-full,,,,,,
tum_p99_hparam_r32,Qwen2.5-1.5B,2,lagrange,0.6370,0.4647,0.5131,0.6141,0.4297,0.5056
tum_p99_hparam_r32,Qwen2.5-1.5B,2,tum_p99,0.8236,0.7802,0.7812,0.7421,0.7018,0.7214
tum_p99_hparam_r32,Qwen2.5-1.5B,2,wikinre,0.6231,0.8604,0.6889,0.5066,0.8357,0.6308
tum_p99_hparam_r32,Qwen2.5-1.5B,2,tum_e3,,,,,,
tum_p99_hparam_r32,Qwen2.5-1.5B,2,nyt,,,,,,
tum_p99_hparam_r32,Qwen2.5-1.5B,2,webnlg,,,,,,
tum_p99_hparam_r32,Qwen2.5-1.5B,2,conll04,,,,,,
tum_p99_hparam_r32,Llama3.2-1B,2,rebel,,,,,,
tum_p99_hparam_r32,Llama3.2-1B,2,rebel-full,,,,,,
tum_p99_hparam_r32,Llama3.2-1B,2,lagrange,0.6381,0.4130,0.4722,0.6030,0.3687,0.4576
tum_p99_hparam_r32,Llama3.2-1B,2,tum_p99,0.8208,0.7657,0.7710,0.7065,0.6852,0.6957
tum_p99_hparam_r32,Llama3.2-1B,2,wikinre,0.6492,0.8799,0.7048,0.4953,0.8591,0.6283
tum_p99_hparam_r32,Llama3.2-1B,2,tum_e3,,,,,,
tum_p99_hparam_r32,Llama3.2-1B,2,nyt,,,,,,
tum_p99_hparam_r32,Llama3.2-1B,2,webnlg,,,,,,
tum_p99_hparam_r32,Llama3.2-1B,2,conll04,,,,,,
wikinre,Gemma3-1B,2,rebel,,,,,,
wikinre,Gemma3-1B,2,rebel-full,,,,,,
wikinre,Gemma3-1B,2,lagrange,0.5139,0.3828,0.3963,0.4905,0.3129,0.3821
wikinre,Gemma3-1B,2,tum_p99,0.3461,0.4786,0.3627,0.3208,0.4121,0.3607
wikinre,Gemma3-1B,2,wikinre,0.9580,0.9592,0.9563,0.9456,0.9484,0.9470
wikinre,Gemma3-1B,2,tum_e3,,,,,,
wikinre,Gemma3-1B,2,nyt,0.1336,0.1361,0.1244,0.1433,0.1071,0.1226
wikinre,Gemma3-1B,2,webnlg,0.4698,0.3667,0.3832,0.4618,0.3258,0.3820
